origin_geoid,visit_pct
010030104002,0.2162162162162162
010030107051,1.0
010030112011,0.7815315315315315
010030112012,0.607843137254902
010030114051,0.3703703703703703
010030114052,0.4210526315789473
010030114062,0.7777777777777778
010030115022,1.0
010030115023,0.65
010030116024,1.1232876712328768
010070100034,1.0789473684210529
010090506021,1.0
010150011001,0.2857142857142857
010150016002,0.8717948717948718
010150016003,1.0
010150017002,0.1428571428571428
010210601014,0.6935483870967742
010210601021,1.0
010210605001,0.4545454545454545
010239567003,1.0
010310105005,1.0
010310110002,0.5714285714285714
010310112012,1.0
010330202001,0.5333333333333333
010330206004,0.3454545454545454
010330207042,1.0
010330209023,0.1509433962264151
010379610004,0.25
010399627002,1.0
010419636001,1.0
010439642003,1.0
010439644001,1.0
010439647003,1.0
010439649002,0.7
010450200002,0.8974358974358975
010450200003,0.4366197183098591
010450213004,1.0
010450214002,1.0
010450214004,0.5294117647058824
010479564003,1.0
010499606002,1.0
010510306002,0.7142857142857142
010510310002,0.4217687074829931
010539698005,1.0
010539705001,0.6856287425149701
010550011001,1.0
010550012001,0.5555555555555556
010550102003,1.0
010550111001,1.0
010570203001,1.0
010599736002,1.0
010690402011,0.2857142857142857
010690405001,0.4347826086956521
010690412001,0.3035714285714286
010690419002,0.7090909090909091
010719501001,0.3725490196078431
010719507002,0.5384615384615384
010719507004,0.5869565217391304
010719508003,1.0
010719508004,1.0
010730003001,0.8095238095238095
010730004005,1.0
010730016004,1.0
010730027001,0.1758793969849246
010730027002,0.1142857142857142
010730029002,0.4074074074074074
010730037003,1.0
010730045001,0.388235294117647
010730052001,0.2352941176470588
010730105002,1.0
010730107061,0.45
010730107062,1.0
010730108011,0.6666666666666666
010730110021,1.0
010730111074,0.7142857142857143
010730111083,1.0
010730112063,1.0
010730115001,1.0
010730116002,0.3823529411764705
010730118042,0.5
010730120022,1.0
010730124011,1.0
010730127014,1.0
010730128023,1.0
010730128034,1.0
010730129051,1.0
010730129061,1.5
010730129063,0.0923076923076923
010730129101,1.0
010730129155,0.6742424242424242
010730141042,0.6666666666666666
010730144082,0.25
010730144092,1.0
010770109001,0.2428571428571428
010770114002,0.2051282051282051
010770116041,0.4085106382978724
010810402001,0.3888888888888889
